,CelularPraAcessar,ComputadorPraAcessar,RendaPerCapita,TemCelular,TemComputador
1555,Sim,2.0,1500.0,2.0,1.0
1557,Sim,2.0,750.0,2.0,1.0
1558,Sim,2.0,1150.0,2.0,1.0
1560,Sim,2.0,745.0,2.0,1.0
1567,Sim,2.0,1680.0,2.0,1.0
1570,Sim,2.0,600.0,2.0,1.0
1571,Sim,2.0,1500.0,2.0,1.0
1572,Sim,4.0,1150.0,2.0,1.0
1573,Sim,2.0,750.0,2.0,1.0
1577,Sim,2.0,600.0,2.0,1.0
1578,Sim,2.0,800.0,2.0,1.0
1580,Sim,2.0,1000.0,2.0,1.0
1584,Sim,2.0,750.0,2.0,1.0
1594,Sem Informação,missing,1041.0,2.0,1.0
1595,Sim,4.0,653.0,2.0,1.0
1596,Sim,2.0,2725.0,2.0,1.0
1598,Sim,2.0,1800.0,2.0,1.0
1600,Sim,4.0,775.0,2.0,1.0
1606,Sim,2.0,1200.0,2.0,1.0
1609,Sim,2.0,876.0,2.0,1.0
1610,Sim,2.0,2400.0,2.0,1.0
1614,Sim,2.0,400.0,2.0,1.0
1622,Sem Informação,missing,487.0,2.0,1.0
1627,Sim,2.0,1945.0,2.0,1.0
1628,Sim,2.0,3000.0,2.0,1.0
1630,Sim,2.0,500.0,2.0,1.0
1632,Sim,2.0,1800.0,2.0,1.0
1634,Sim,2.0,750.0,2.0,1.0
1635,Sim,2.0,266.0,2.0,1.0
1637,Sim,2.0,40.0,2.0,1.0
1638,Sim,2.0,1333.0,2.0,1.0
1639,Sim,2.0,1697.0,2.0,1.0
1640,Sim,2.0,1566.0,2.0,1.0
1642,Sem Informação,missing,875.0,2.0,1.0
1650,Sim,2.0,338.0,2.0,1.0
1655,Sem Informação,missing,100.0,2.0,1.0
1659,Sem Informação,missing,420.0,2.0,1.0
1660,Sim,2.0,2433.0,2.0,1.0
1661,Sem Informação,missing,300.0,2.0,1.0
1663,Sim,2.0,3500.0,2.0,1.0
1664,Sim,2.0,4500.0,2.0,1.0
1665,Sem Informação,missing,1000.0,2.0,1.0
1669,Sim,2.0,950.0,2.0,1.0
1672,Sim,2.0,1300.0,2.0,1.0
1676,Sim,2.0,633.0,2.0,1.0
1677,Sim,2.0,844.0,2.0,1.0
1678,Sim,2.0,800.0,2.0,1.0
1680,Sim,2.0,2100.0,2.0,1.0
1682,Não,2.0,800.0,2.0,1.0
1685,Não,2.0,1633.0,2.0,1.0
1688,Sim,2.0,940.0,2.0,1.0
1691,Sim,2.0,12500.0,2.0,1.0
1692,Sim,2.0,5000.0,2.0,1.0
1693,Sim,2.0,2100.0,2.0,1.0
1695,Sim,2.0,1966.0,2.0,1.0
1696,Sim,2.0,6800.0,2.0,1.0
1697,Sim,2.0,5000.0,2.0,1.0
1698,Sim,2.0,1150.0,2.0,1.0
1699,Sim,2.0,2250.0,2.0,1.0
1702,Sim,2.0,3666.0,2.0,1.0
1703,Sim,2.0,2200.0,2.0,1.0
1704,Sim,2.0,5000.0,2.0,1.0
1711,Sim,2.0,7500.0,2.0,1.0
1712,Sim,2.0,1833.0,2.0,1.0
1713,Sim,2.0,0.0,2.0,1.0
1715,Sim,2.0,958.0,2.0,1.0
1717,Sim,2.0,766.0,2.0,1.0
1718,Sim,2.0,900.0,2.0,1.0
1719,Sim,2.0,933.0,2.0,1.0
1720,Sim,2.0,1500.0,2.0,1.0
1729,Sim,2.0,1500.0,2.0,1.0
1733,Sim,2.0,833.0,2.0,1.0
1735,Não,2.0,288.0,2.0,1.0
1738,Sim,2.0,1500.0,2.0,1.0
1739,Sim,2.0,262.0,2.0,1.0
1748,Sim,2.0,195.0,2.0,1.0
1752,Não,2.0,1375.0,2.0,1.0
1761,Sim,2.0,5000.0,2.0,1.0
1765,Sem Informação,missing,1250.0,2.0,1.0
1766,Sem Informação,missing,2100.0,2.0,1.0
1768,Sim,2.0,1250.0,2.0,1.0
1769,Sim,2.0,1825.0,2.0,1.0
1775,Sem Informação,missing,1400.0,2.0,1.0
1797,Sim,2.0,1947.0,2.0,1.0
1803,Sim,2.0,875.0,2.0,1.0
1812,Sim,2.0,2180.0,2.0,1.0
1814,Sim,2.0,2000.0,2.0,1.0
1815,Sim,2.0,1469.0,2.0,1.0
1816,Sim,2.0,838.0,2.0,1.0
1817,Sim,2.0,337.0,2.0,1.0
1818,Sem Informação,missing,6100.0,2.0,1.0
1823,Sim,2.0,480.0,2.0,1.0
1826,Sim,2.0,712.0,2.0,1.0
1828,Sim,4.0,61.0,2.0,1.0
1832,Sim,2.0,1936.0,2.0,1.0
1836,Não,2.0,500.0,2.0,1.0
1838,Não,2.0,1544.0,2.0,1.0
1839,Sim,2.0,3750.0,2.0,1.0
1840,Não,2.0,395.0,2.0,1.0
1843,Sim,2.0,1333.0,2.0,1.0
1844,Sim,2.0,817.0,2.0,1.0
1846,Sim,2.0,1900.0,2.0,1.0
1847,Sim,2.0,194.0,2.0,1.0
1848,Não,2.0,322.0,2.0,1.0
1851,Sim,2.0,394.0,2.0,1.0
1852,Sim,2.0,1233.0,2.0,1.0
1855,Sim,2.0,400.0,2.0,1.0
1860,Sim,2.0,1088.0,2.0,1.0
1861,Sim,2.0,999999999999.0,2.0,1.0
